Title,URL,Price,Location,Image,Offer type,Rooms,Area,Price per m²
Dom Bemowo Cisza,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/dom-bemowo-cisza-ID4wlpE,2 570 000 zł,"ul. Wojciecha Korfantego, Bemowo-Lotnisko, Bemowo, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjhhOWltOG8yY3F5OS1FQ09TWVNURU0iLCJ3IjpbeyJmbiI6ImVudmZxcWUxYXk0azEtQVBMIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.3yd7ZQzQ9JA01tLfLGLJmDG0YbTJWn2Ru-26W1_oYGo/image;s=655x491;q=80,"Borawska & Kollat Agencja Nieruchomości
Biuro nieruchomości",7 pokoi,290 m²,8862 zł/m²
Dom-unikat-4 sypialnie-Park w Powsinie,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/dom-unikat-4-sypialnie-park-w-powsinie-ID4wpJ0,2 650 000 zł,"ul. Przekorna, Powsin, Wilanów, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImE2ZGdlbGFuNTloYy1FQ09TWVNURU0iLCJ3IjpbeyJmbiI6ImVudmZxcWUxYXk0azEtQVBMIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.XivTKAgPCTERlqfCdkHGF2jRclG9c6mq94s8R_0lydw/image;s=655x491;q=80,"Eteria Consulting Sp. z o.o.
Biuro nieruchomości",5 pokoi,250 m²,10 600 zł/m²
"Białołęka, Nowe Osiedle W Zabudowie Bliźniaczej",https://www.otodom.plhttps://www.otodom.pl/pl/oferta/bialoleka-nowe-osiedle-w-zabudowie-blizniaczej-ID4jpPg,1 480 000 zł,"ul. Kępa Tarchomińska, Nowodwory, Białołęka, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjJwNWQyNGdtNXAwajItRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.-tn1xfXqhIxsK9FkL_FQ20EZ5MuxpGDGl9cGgkM-cqE/image;s=655x491;q=80,"Happy Home
Biuro nieruchomości",4 pokoje,160 m²,9250 zł/m²
Dom w Wilanowie dla wymagającego klienta,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/dom-w-wilanowie-dla-wymagajacego-klienta-ID4umeU,4 600 000 zł,"ul. Bruzdowa, Zawady, Wilanów, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImVwcGluODVsZjRyaTEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.qjrsQ1uxDmbbhaCEGP5vwK2ythKIvB79GVo8Qyo9uk4/image;s=655x491;q=80,"En Casa Premium Real Estate
Biuro nieruchomości",7 pokoi,300 m²,15 333 zł/m²
4-pokojowy dom 107m2 + ogródek Bezpośrednio,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/4-pokojowy-dom-107m2-ogrodek-bezposrednio-ID4u8WI,Zapytaj o cenę,"ul. Arkadii, Nadwiśle, Wawer, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inhwcnl1ODk0N2tldDEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.FGuMkAR73M9L0Af2_8rTXDCKbrmQ9B5BZdiPUo767tI/image;s=655x491;q=80,"Alfa House
Deweloper",4 pokoje,88.63 m²,N/A
Błękitny Wawer | 3 etap | dom 3_K,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/blekitny-wawer-3-etap-dom-3-k-ID4rYV9,1 638 000 zł,"ul. Kozieradki, Nadwiśle, Wawer, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImM1amQzMWgzdnpqYi1FQ09TWVNURU0iLCJ3IjpbeyJmbiI6ImVudmZxcWUxYXk0azEtQVBMIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.hze5ce5t-zpoKsn1whXtNQJRNic1M3WE1hCQM13vwoU/image;s=655x491;q=80,"Port Development Sp. z o.o.
Deweloper",5 pokoi,150.25 m²,10 902 zł/m²
7-pokojowy dom 256m2 + ogródek Bez Prowizji,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/7-pokojowy-dom-256m2-ogrodek-bez-prowizji-ID4umDP,4 060 000 zł,"ul. Białego Dębu, Stegny, Mokotów, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjgyZDQ0cHpodnlobzItRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.Uu34TTzS6D8i245-6hmQ6F0VxUT8-z7jteXzeRw6tjc/image;s=655x491;q=80,"Skanska
Deweloper",7 pokoi,257.41 m²,16 044 zł/m²
"6 domów na nowym osiedlu 5 pokoi, garaż, ogródek",https://www.otodom.plhttps://www.otodom.pl/pl/oferta/6-domow-na-nowym-osiedlu-5-pokoi-garaz-ogrodek-ID4wFdo,1 599 000 zł,"ul. Wał Miedzeszyński, Las, Wawer, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjJnd3hkbm4zbjJtaTItQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.EteR57KrzuDc7V4WF84YF46H422EpXR3bAK3dsJQlU8/image;s=655x491;q=80,Oferta prywatna,5 pokoi,135 m²,11 844 zł/m²
"4 pok. 94 m2- Zagórzańska, Wawer",https://www.otodom.plhttps://www.otodom.pl/pl/oferta/4-pok-94-m2-zagorzanska-wawer-ID4pBQc,1 252 002 zł,"Aleksandrów, Wawer, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imp1bTUwMHAyNmpmcDMtRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.iMX_WFklI_AhOqi8sOUHSAxiBdsR7dQPcZ6NbNNl3sQ/image;s=655x491;q=80,"Almar Premium Real Estate
Biuro nieruchomości",4 pokoje,94.13 m²,13 301 zł/m²
"Willa z kominkiem, bezczynszowa",https://www.otodom.plhttps://www.otodom.pl/pl/oferta/willa-z-kominkiem-bezczynszowa-ID4wiZs,1 199 000 zł,"Nowodwory, Białołęka, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9iN20wdTEzcXVnaS1BUEwiLCJ3IjpbeyJmbiI6ImVudmZxcWUxYXk0azEtQVBMIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.XTiaCxBmeBnEuAZIbTurLoWRdPdV9GhUd4NsZWqXVi8/image;s=655x491;q=80,Oferta prywatna,5 pokoi,156 m²,7686 zł/m²
"Bezpośrednio od dewelopera dom 180m2, działka 250",https://www.otodom.plhttps://www.otodom.pl/pl/oferta/bezposrednio-od-dewelopera-dom-180m2-dzialka-250-ID4gPYV,2 100 000 zł,"Radość, Wawer, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImQ3NXhocXF0NWprZzMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.pwLHl6MPBQ2mDtSsHGGUSj7CwL_6Zy94lWT4H9EJwJo/image;s=655x491;q=80,Oferta prywatna,5 pokoi,180 m²,11 667 zł/m²
Wykończony Dom bezpośrednio od dewelopera,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/wykonczony-dom-bezposrednio-od-dewelopera-ID4rO3b,2 550 000 zł,"Radość, Wawer, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjR2YTV4dHB3d3ZnazItQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.gTl7BC_2L-u0BDOKCkMtNkbtYTKzWNL8DddlH2OmxJA/image;s=655x491;q=80,Oferta prywatna,5 pokoi,180 m²,14 167 zł/m²
Twoje Nowy Dom ! Bez Prowizji !,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/twoje-nowy-dom-bez-prowizji-ID4ws8Y,1 530 000 zł,"ul. Strzygłowska, Nadwiśle, Wawer, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjdsZ2RneWk0czR3ai1FQ09TWVNURU0iLCJ3IjpbeyJmbiI6ImVudmZxcWUxYXk0azEtQVBMIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.4Tkx7AcawB_nnhiUKO-hVAwawCrfWR2oIgw17uP_rqw/image;s=655x491;q=80,"Winnerz
Biuro nieruchomości",5 pokoi,155.78 m²,9822 zł/m²
Bliźniak I Segment I Duży Garaż I 4-6 POKOI,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/blizniak-i-segment-i-duzy-garaz-i-4-6-pokoi-ID4wflX,1 255 000 zł,"ul. Waligóry 1H, Białołęka Dworska, Białołęka, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijd6aDk1NGcxdmptcDMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.A863Q3S5NnM9BDsaF7ZvfVLHM8kfjeXpxsykQoKV9xk/image;s=655x491;q=80,Oferta prywatna,4 pokoje,155 m²,8097 zł/m²
Dom przystosowany pod wynajem - 374 m2 - Targówek,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/dom-przystosowany-pod-wynajem-374-m2-targowek-ID4wEil,2 890 000 zł,"ul. Zygmunta Jórskiego, Zacisze, Targówek, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IndyZnR4NGZpaXBsdzEtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.dU4cG_PtB_sFEw3sLqZ5Qwkk67b8ZmeKm5V9CksX08o/image;s=655x491;q=80,"Lion's Property
Biuro nieruchomości",10+ pokoi,374 m²,7727 zł/m²
Nieruchomość inwestycyjna Praga-Południe,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/nieruchomosc-inwestycyjna-praga-poludnie-ID4wFay,3 400 000 zł,"Gocławek, Praga-Południe, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImFvazJ4ODlndHp0YTMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.Pcf85kaZnJR7TgwF4YDRKwp4sG2Gt-4qRLts261ITlk/image;s=655x491;q=80,"MAXON Nieruchomości
Biuro nieruchomości",5 pokoi,285 m²,11 930 zł/m²
Doskonale zlokalizowany duży dom na Wyględowie,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/doskonale-zlokalizowany-duzy-dom-na-wygledowie-ID4wFao,2 900 000 zł,"Wyględów, Mokotów, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImVrMThvdGhqcWJtMTEtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.3abTbNlGW0qVopJhyFiRL6WCGwujHkSCoCcEptbsG4w/image;s=655x491;q=80,"Metrohome24 Biuro Nieruchomości sp.zoo
Biuro nieruchomości",8 pokoi,400 m²,7250 zł/m²
5-pokojowy dom 134m2 + 2 tarasy Bezpośrednio,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/5-pokojowy-dom-134m2-2-tarasy-bezposrednio-ID4ug21,Zapytaj o cenę,"ul. Stasinek, Nowodwory, Białołęka, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InNudXRvZm96YXZxNjItRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.ppfLsm-uiuV6OjQw1ZxihngdlCPWIh2qOEBgJ-Jztxk/image;s=655x491;q=80,"Muniak Development
Deweloper",5 pokoi,134.72 m²,N/A
,https://www.otodom.plhttps://www.otodom.pl/hpr/pl/oferta/osiedle-czarnuszki-dom-5-pok-13-ID4te3F,,,,,N/A,N/A,N/A
BEZPOŚREDNIO DOM Wawer/ogród/bliźniak/ul.Podkowy,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/bezposrednio-dom-wawer-ogrod-blizniak-ul-podkowy-ID4skM7,895 000 zł,"Aleksandrów, Wawer, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImY3cTczeHFxdHM2ZjEtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.U69nAZVcaF15CEzipRkfpBrCK1P8k9C-MAoFrM9ciXQ/image;s=655x491;q=80,Oferta prywatna,4 pokoje,80.9 m²,11 063 zł/m²
Dom 218m2 Wilanów energooszczędny bezpośrednio,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/dom-218m2-wilanow-energooszczedny-bezposrednio-ID4wgvK,2 180 000 zł,"ul. Bruzdowa 73E i 73F, Zawady, Wilanów, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjZsYmw1bWk2Mml3YTItQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.UP1Ljj0UkY5gFYNDIP7_SYKibxa0vZMbt1SceC7focg/image;s=655x491;q=80,Oferta prywatna,6 pokoi,218 m²,10 000 zł/m²
5-pokojowy dom 142m2 Bez Prowizji,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/5-pokojowy-dom-142m2-bez-prowizji-ID4rkZz,1 370 000 zł,"ul. Poprawna 95, Las, Wawer, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjJyZHNsd2Rlcnkzbi1FQ09TWVNURU0iLCJ3IjpbeyJmbiI6ImVudmZxcWUxYXk0azEtQVBMIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.LOpKhwAjg8rxH-o7jrRv1BSdk3GB3I6xJjgObUOyWik/image;s=655x491;q=80,"Ambud-Invest A.M. Cieśluk spółka komandytowa
Deweloper",5 pokoi,142 m²,9648 zł/m²
5-pokojowy dom 134m2 + ogródek Bez Pośredników,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/5-pokojowy-dom-134m2-ogrodek-bez-posrednikow-ID4ug1L,Zapytaj o cenę,"ul. Stasinek, Nowodwory, Białołęka, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InNudXRvZm96YXZxNjItRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.ppfLsm-uiuV6OjQw1ZxihngdlCPWIh2qOEBgJ-Jztxk/image;s=655x491;q=80,"Muniak Development
Deweloper",5 pokoi,134.72 m²,N/A
6-pokojowy dom 178m2 + ogródek Bezpośrednio,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/6-pokojowy-dom-178m2-ogrodek-bezposrednio-ID4u9Ku,1 790 000 zł,"ul. Kuropatwy, Mysiadło, Lesznowola, piaseczyński, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imk0ZDJ2cmhxaWprczMtRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.7TwJ332SOqMnZhtRGdQnoWtUWxWmo-ZJrOLo08FJBG0/image;s=655x491;q=80,"Artis Development
Deweloper",6 pokoi,178.55 m²,10 025 zł/m²
4-pokojowy dom 110m2 + ogródek Bez Pośredników,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/4-pokojowy-dom-110m2-ogrodek-bez-posrednikow-ID4u9RS,Zapytaj o cenę,"ul. Wiklinowa, Henryków, Białołęka, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImhmMGp5NjN1ZXFqbjEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.GRp0jyZrlVQSDai67iA-FOaB-SL02IAEQ3cbXIhyw3Q/image;s=655x491;q=80,"Weisenburger
Deweloper",4 pokoje,101.54 m²,N/A
4-pokojowy dom 91m2 + 2 ogródki Bezpośrednio,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/4-pokojowy-dom-91m2-2-ogrodki-bezposrednio-ID4uyUB,Zapytaj o cenę,"ul. Stanisława Leszczyńskiego 25, Gołąbki, Ursus, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImZyaXpnczRpMHljYTEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.Sl452o0jQL7Z0D-S9Tg0YR4vrH3flmfMEWF6shCj3PA/image;s=655x491;q=80,"Weisenburger
Deweloper",3 pokoje,65.39 m²,N/A
5-pokojowy dom 318m2 + ogródek Bez Pośredników,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/5-pokojowy-dom-318m2-ogrodek-bez-posrednikow-ID4u9Bz,4 100 000 zł,"ul. Ruczaj, Powsinek, Wilanów, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Indzb3k2dHVzbHNtODMtRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.-K9A7Hcp-M2x1YGfqA7DAU892gVYoAx8pNFxkG8njLA/image;s=655x491;q=80,"Artis Development
Deweloper",5 pokoi,318.1 m²,12 889 zł/m²
Osiedle Czarnuszki | dom 5-pok. | 3,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/osiedle-czarnuszki-dom-5-pok-3-ID4rW3L,1 499 000 zł,"ul. Czarnuszki, Nadwiśle, Wawer, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InRobHd4NXNyeTZnbDMtRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.07HUOwhDh0FwKvhIaI84jyK361TWtl0QYRK4qUd3S3k/image;s=655x491;q=80,"Inter Dos Sp. z o.o.
Deweloper",5 pokoi,162.12 m²,9246 zł/m²
